Timestamp,class,textbookTitle,edition,price
5/7/2017 14:46,SOC 0023,"Symbols, Selves, and Social Reality",Third,$10.00 
5/10/2017 13:44,SOC 0010,century of difference,,$20.00 
5/9/2017 14:09,SOC 0001,Unequal Childhoods,2nd Edition,$12.00 
5/9/2017 13:48,SOC 0185,This is Why We Can't Have Nice Things,n/a,$10.00 
5/6/2017 13:57,SOC 0020,The package deal,One you need for class,$10.00 
5/6/2017 13:54,SOC 0020,unequal childhoods,The one you need for the class ,$10.00 
5/10/2017 13:19,FR 0003/4,Bravo!,7th,$40.00 
5/10/2017 14:36,FR 0191-A,Affaires a suivre,,$20.00 
5/9/2017 16:09,FR 0001/0002,Promenades,Second,$85.00 
5/6/2017 13:30,FR 0021,Bonjour Tristesse,pocket,$2.00 
5/10/2017 12:12,PSY 0009,Brain and Behavior,1st,$75.00 
5/10/2017 14:16,PSY 0127,Vertebrate Endocrinology,5th ,$40.00 
9/4/2017,ENG 0001,Rules For Writers,7,$20.00 
9/4/2017 12:03,PHIL 0001,4 Texts on Socrates,,$5.00 
9/4/2017,PHIL 0001,The Republic of Plato,,$7.00 
9/4/2017 12:07,PHIL 0001,Plato's Symposium,,$3.00 
9/4/2017,FR 0003,Bravo!,8,$50.00 
9/4/2017,EC 0005,economics,5,$50.00 
9/4/2017,ITAL 0001,Ital-Eng Dictionary,none,$10.00 
9/4/2017,CHEM 0011,General Chemistry: Principles and Modern Applications,10,$40.00 
9/4/2017,AMER 0012,The Social Construction of Whiteness,1993,$9.00 
9/4/2017,CHEM 0011/12,General Chemistry,10,$50.00 
9/4/2017,HIST 0053,A History of the Modern World,10,$20.00 
9/4/2017,PS 0061,The Landmark Thucydides,,$20.00 
5/5/2017 22:54,SOC 0001,The Sneetches and Other Stories,,$5.00 
5/8/2017 10:40,SOC 0001,Unequal Childhoods,2nd,$5.00 
5/5/2017 22:52,SOC 0001,Unequal Childhoods,2nd,$15.00 
9/4/2017,PS 0061,International Politics,12,$40.00 
5/5/2017 12:11,SOC 0010,Made in America,,$12.00 
5/5/2017 12:11,SOC 0010,The Great Divergence,,$13.00 
9/4/2017,UEP 0094,The Environmental Case,2,$20.00 
5/5/2017 12:10,SOC 0094 - Homelessness in America,Evicted,,$15.00 
5/5/2017 12:07,SOC 0094 - Homelessness in America,"Hobos, Hustlers, and Backsliders: Homeless in San Francisco",,$12.00 
5/7/2017 13:56,FAH 0001,A Survival Guide for Art History Students,,$15.00 
9/4/2017,EC 0013,Applied Statistics in Business and Economics,3,$21.00 
9/4/2017,PSY 0013,Social Psychology,9,$85.00 
9/4/2017,ENG 0002,Beloved,,$5.00 
9/4/2017,ENG 0002,The Woman Warrior,,$5.00 
9/4/2017,ENG 0092,New Media Old Media,2,$25.00 
9/4/2017,ES 0002,Introduction to Computing for Engineers,,$50.00 
9/4/2017,PS 0064,Global Capitalism,,$20.00 
9/4/2017,PS 0064,Global Capitalism,,$20.00 
9/4/2017,PS 0064,Force and Statecraft,5,$15.00 
9/4/2017,SOC 0001,Playing to Win,,$15.00 
9/4/2017,PHIL 0024,The Fundamentals of Ethics,3,$15.00 
9/4/2017,PSY 0001,Psychological Science Workbook,,$20.00 
9/5/2017,SPN 0004,Viajes Fantasticos,Second,$3.00 
9/5/2017,SPN 0003,Atando Cabos,Fourth,$20.00 
9/5/2017,FR 0022,Dans le cafe de la jeunesse perdue,N/A,$10.00 
9/5/2017,FR 0022,Collins French Dictionary,N/A,$6.00 
9/5/2017,SPN 0004,No paso nada,3rd,$5.00 
9/5/2017,BIO 0013,A short guide to writing about Biology,N/A,$8.00 
9/5/2017,ASTR 0010,The Cambridge Guide to the Solar System,2,$20.00 
9/5/2017,ASTR 0010,"Sun, Earth, and SKY",2nd,$10.00 
9/5/2017,ASTR 0010,The life and death of stars,,$10.00 
9/5/2017,ASTR 0010,"The Cambridge guide to the solar system,",2nd,$15.00 
9/5/2017,HIST 0040,Sources of Chinese Tradition,2nd,$27.00 
9/5/2017,SPN 0003,Atando Cabos,Fourth Edition,$10.00 
9/5/2017,PHIL 0001,Introduction to Philosophy,,$15.00 
9/5/2017,SPN 0003,Atando Cabos,Fourth,$20.00 
9/5/2017,SPN 0004,No paso nada,,$5.00 
9/5/2017,SPN 0004,Atando Cabos,,$20.00 
9/6/2017,PS 0011,The Challenge of Democracy ,13th Edition ,$30.00 
9/6/2017,PS 0011,Lanahan Readings in American Polity,Sixth Edition,$15.00 
9/6/2017,EC 0016,Microeconomic Theory: Basic Principles and Extensions,11th ,$70.00 
9/6/2017,EC 0018,"Macroeconomics: Institutions, Instability, and the Financial System",,$45.00 
9/6/2017,SPN 0003/4,ATANDOS CABOS,4,$15.00 
9/6/2017,PHIL 0001,Luck: The Brilliant Randomness of Everything,,$5.00 
9/6/2017,PHIL 0001,God and Design,,$10.00 
9/6/2017,SOC 0141,Illness as a Metaphor and AIDS and Its Metaphors,,$5.00 
9/6/2017,ENG 0001,Rules for Writers,7,$10.00 
9/6/2017,CHEM 0001,Lab goggles,,$15.00 
9/6/2017,,iClicker,,$15.00 
9/6/2017,CHNS 0001,New Practical Chinese Reader Workbook 1,2nd,$10.00 
9/6/2017,NU 0101,Understanding Nutrition,13th Edition ,$15.00 
9/6/2017,CHEM 0011,General Chemistry: Principles and Modern Applications,10th,$45.00 
9/6/2017,FR 0001,Promenades,2nd Edition,$80.00 
9/6/2017,ENG 0001,Rules for Writers,6,$5.00 
9/6/2017,BIO 0013,A Short Guide to Writing About Biology,7,$10.00 
9/6/2017,MATH 0032/34,Calculus Early Transcendentals,6,$100.00 
9/6/2017,BIO 0013,Biological Science,Custom Edition for Tufts University,$50.00 
9/6/2017,SPN 0030,Modern Spanish Literature: 18th to 21st Century,,$30.00 
5/8/2017 14:00,PHIL 0197,How to do Things with Pornography,,$15.00 
5/8/2017 14:03,PHIL 0197,"Blood Oil: Tyrants, Violence, and the Rules that Run the World",,$10.00 
5/10/2017 14:12,PHIL 0197,Blood Oil,,$15.00 
5/2/2017 16:19,PHIL 0152,The Many Faces of Philosophy,1,$20.00 
5/10/2017 14:14,PHIL 0141,The Law of Peoples,,$10.00 
5/10/2017 14:21,PHIL 0124,Bioethics ,2nd,$25.00 
5/7/2017 13:09,PHIL 0038,Evolution of the Social Contract,1st,$10.00 
5/7/2017 13:58,PHIL 0038,An introduction to probability and inductive logic,,$20.00 
5/7/2017 13:09,PHIL 0038,An Introduction to Probability and Inductive Logic,9th,$15.00 
5/10/2017 14:17,PHIL 0033,Formal Logic: It's scope and limits,4th,$20.00 
